CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;PRELA_CONVO_NOTA_DEF;NOTA_CORTE_DEFINITIVA_JULIO;NOTA_CORTE_DEFINITIVA_SEPTIEMBRE;FECHA_ACTUALIZACION
2019;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;;5.000;5.000;10/01/2021
2019;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;;10.857;;10/01/2021
2019;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;;10.186;;10/01/2021
2019;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;;9.940;;10/01/2021
2019;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;10/01/2021
2019;Grado: Psicología;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;8.210;;10/01/2021
2019;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;10/01/2021
2019;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;;10.820;;10/01/2021
2019;Grado: Información y Documentación;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;10/01/2021
2019;Grado: Fisioterapia;Zaragoza;Facultad de Ciencias de la Salud;;10.715;;10/01/2021
2019;Grado: Terapia Ocupacional;Zaragoza;Facultad de Ciencias de la Salud;;5.000;;10/01/2021
2019;Grado: Trabajo Social;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;;5.000;5.000;10/01/2021
2019;Grado: Ingeniero en Diseño Industrial y Desarrollo de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;;9.767;;10/01/2021
2019;Grado: Ciencia y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;;8.651;;10/01/2021
2019;Grado: Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;;10.040;;10/01/2021
2019;Grado: Geología;Zaragoza;Facultad de Ciencias;;5.000;5.000;10/01/2021
2019;Grado: Óptica y Optometría;Zaragoza;Facultad de Ciencias;;5.000;5.000;10/01/2021
2019;Grado: Magisterio en Educación Primaria;Zaragoza;Facultad de Educación;;8.830;;10/01/2021
2019;Grado: Magisterio en Educación Primaria;Huesca;Facultad de Ciencias Humanas y de la Educación;;5.000;;10/01/2021
2019;Grado: Magisterio en Educación Primaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;10/01/2021
2019;Grado: Magisterio en Educación Infantil;Zaragoza;Facultad de Educación;;8.596;;10/01/2021
2019;Grado: Magisterio en Educación Infantil;Huesca;Facultad de Ciencias Humanas y de la Educación;;6.210;;10/01/2021
2019;Grado: Magisterio en Educación Infantil;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;10/01/2021
2019;Grado: Medicina;Zaragoza;Facultad de Medicina;;12.516;;10/01/2021
2019;Grado: Medicina;Huesca;Facultad de Ciencias de la Salud y del Deporte;;12.354;;10/01/2021
2019;Grado: Estudios Clásicos;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;10/01/2021
2019;Grado: Estudios Ingleses;Zaragoza;Facultad de Filosofía y Letras;;5.000;7.951;10/01/2021
2019;Grado: Filología Hispánica;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;10/01/2021
2019;Grado: Historia;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;10/01/2021
2019;Grado: Historia del Arte;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;10/01/2021
2019;Grado: Física;Zaragoza;Facultad de Ciencias;;11.209;;10/01/2021
2019;Grado: Biotecnología;Zaragoza;Facultad de Ciencias;;11.812;;10/01/2021
2019;Grado: Matemáticas;Zaragoza;Facultad de Ciencias;;11.055;;10/01/2021
2019;Grado: Química;Zaragoza;Facultad de Ciencias;;7.519;;10/01/2021
2019;Grado: Nutrición Humana y Dietética;Huesca;Facultad de Ciencias de la Salud y del Deporte;;7.440;;10/01/2021
2019;Grado: Odontología;Huesca;Facultad de Ciencias de la Salud y del Deporte;;11.711;;10/01/2021
2019;Grado: Veterinaria;Zaragoza;Facultad de Veterinaria;;10.521;;10/01/2021
2019;Grado: Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;;5.000;8.323;10/01/2021
2019;Grado: Administración y Dirección de Empresas;Huesca;Facultad de Empresa y Gestión Pública;;5.000;5.000;10/01/2021
2019;Grado: Administración y Dirección de Empresas;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;10/01/2021
2019;Grado: Derecho;Zaragoza;Facultad de Derecho;;8.677;;10/01/2021
2019;Grado: Economía;Zaragoza;Facultad de Economía y Empresa;;5.000;5.000;10/01/2021
2019;Grado: Finanzas y Contabilidad;Zaragoza;Facultad de Economía y Empresa;;5.000;5.000;10/01/2021
2019;Grado: Geografía y Ordenación del Territorio;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;10/01/2021
