CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2019;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Facultad;Grado;54;36;204;66.67;15/11/2020
2019;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;160;159;1915;99.38;15/11/2020
2019;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Centro adscrito;Grado;54;54;1412;100.00;15/11/2020
2019;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Centro adscrito;Grado;33;33;1140;100.00;15/11/2020
2019;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;55;32;163;58.18;15/11/2020
2019;Grado: Psicología;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;85;84;778;98.82;15/11/2020
2019;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;60;56;352;93.33;15/11/2020
2019;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;60;60;590;100.00;15/11/2020
2019;Grado: Información y Documentación;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;36;13;108;36.11;15/11/2020
2019;Grado: Fisioterapia;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;60;59;1159;98.33;15/11/2020
2019;Grado: Terapia Ocupacional;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;80;77;582;96.25;15/11/2020
2019;Grado: Trabajo Social;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Grado;180;180;927;100.00;15/11/2020
2019;Grado: Ingeniero en Diseño Industrial y Desarrollo de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;75;76;465;101.33;15/11/2020
2019;Grado: Ciencia y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;Facultad;Grado;60;60;507;100.00;15/11/2020
2019;Grado: Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;62;62;655;100.00;15/11/2020
2019;Grado: Geología;Zaragoza;Facultad de Ciencias;Facultad;Grado;50;34;148;68.00;15/11/2020
2019;Grado: Óptica y Optometría;Zaragoza;Facultad de Ciencias;Facultad;Grado;60;53;486;88.33;15/11/2020
2019;Grado: Magisterio en Educación Primaria;Zaragoza;Facultad de Educación;Facultad;Grado;240;239;1330;99.58;15/11/2020
2019;Grado: Magisterio en Educación Primaria;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Grado;120;119;666;99.17;15/11/2020
2019;Grado: Magisterio en Educación Primaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;120;95;588;79.17;15/11/2020
2019;Grado: Magisterio en Educación Infantil;Zaragoza;Facultad de Educación;Facultad;Grado;120;120;1030;100.00;15/11/2020
2019;Grado: Magisterio en Educación Infantil;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Grado;120;119;557;99.17;15/11/2020
2019;Grado: Magisterio en Educación Infantil;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;120;99;526;82.50;15/11/2020
2019;Grado: Medicina;Zaragoza;Facultad de Medicina;Facultad;Grado;180;182;2779;101.11;15/11/2020
2019;Grado: Medicina;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;45;45;2458;100.00;15/11/2020
2019;Grado: Estudios Clásicos;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;30;24;136;80.00;15/11/2020
2019;Grado: Estudios Ingleses;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;100;97;441;97.00;15/11/2020
2019;Grado: Filología Hispánica;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;70;62;264;88.57;15/11/2020
2019;Grado: Historia;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;165;126;534;76.36;15/11/2020
2019;Grado: Historia del Arte;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;120;93;329;77.50;15/11/2020
2019;Grado: Física;Zaragoza;Facultad de Ciencias;Facultad;Grado;82;82;514;100.00;15/11/2020
2019;Grado: Biotecnología;Zaragoza;Facultad de Ciencias;Facultad;Grado;66;66;692;100.00;15/11/2020
2019;Grado: Matemáticas;Zaragoza;Facultad de Ciencias;Facultad;Grado;66;65;602;98.48;15/11/2020
2019;Grado: Química;Zaragoza;Facultad de Ciencias;Facultad;Grado;150;147;740;98.00;15/11/2020
2019;Grado: Nutrición Humana y Dietética;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;56;57;735;101.79;15/11/2020
2019;Grado: Odontología;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;36;37;801;102.78;15/11/2020
2019;Grado: Veterinaria;Zaragoza;Facultad de Veterinaria;Facultad;Grado;146;145;1133;99.32;15/11/2020
2019;Grado: Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;400;395;1537;98.75;15/11/2020
2019;Grado: Administración y Dirección de Empresas;Huesca;Facultad de Empresa y Gestión Pública;Facultad;Grado;65;46;276;70.77;15/11/2020
2019;Grado: Administración y Dirección de Empresas;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;45;31;176;68.89;15/11/2020
2019;Grado: Derecho;Zaragoza;Facultad de Derecho;Facultad;Grado;308;305;1026;99.03;15/11/2020
2019;Grado: Economía;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;200;194;1076;97.00;15/11/2020
2019;Grado: Finanzas y Contabilidad;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;150;141;786;94.00;15/11/2020
2019;Grado: Geografía y Ordenación del Territorio;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;50;30;163;60.00;15/11/2020
2019;Grado: Gestión y Administración Pública;Huesca;Facultad de Empresa y Gestión Pública;Facultad;Grado;40;30;137;75.00;15/11/2020
2019;Grado: Marketing e Investigación de Mercados;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;150;145;1184;96.67;15/11/2020
2019;Grado: Relaciones Laborales y Recursos Humanos;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Grado;180;179;904;99.44;15/11/2020
2019;Grado: Turismo;Zaragoza;Escuela Universitaria de Turismo de Zaragoza;Centro adscrito;Grado;80;56;528;70.00;15/11/2020
2019;Grado: Ingeniería Agroalimentaria y del Medio Rural;Huesca;Escuela Politécnica Superior;Facultad;Grado;45;32;162;71.11;15/11/2020
2019;Grado: Ingeniería Civil;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;54;5;102;9.26;15/11/2020
2019;Grado: Arquitectura Técnica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;54;20;116;37.04;15/11/2020
2019;Grado: Ingeniería de Organización Industrial;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;56;47;162;83.93;15/11/2020
2019;Grado: Ingeniería de Organización Industrial;Zaragoza;Centro Universitario de la Defensa de Zaragoza;Centro adscrito;Grado;301;294;0;97.67;15/11/2020
2019;Grado: Ingeniería de Tecnologías Industriales;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;180;170;672;94.44;15/11/2020
2019;Grado: Ingeniería de Tecnologías y Servicios de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;76;471;84.44;15/11/2020
2019;Grado: Ingeniería Electrica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;54;398;60.00;15/11/2020
2019;Grado: Ingeniería Electrónica y Automática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;120;110;555;91.67;15/11/2020
2019;Grado: Ingeniería Electrónica y Automática;Teruel;Escuela Universitaria Politécnica de Teruel;Escuela Universitaria;Grado;30;14;79;46.67;15/11/2020
2019;Grado: Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;99;99;591;100.00;15/11/2020
2019;Grado: Ingeniería Informática;Teruel;Escuela Universitaria Politécnica de Teruel;Escuela Universitaria;Grado;33;29;218;87.88;15/11/2020
2019;Grado: Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;228;175;685;76.75;15/11/2020
2019;Grado: Ingeniería Mecatrónica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;56;42;193;75.00;15/11/2020
2019;Grado: Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;79;466;87.78;15/11/2020
2019;Grado: Lenguas Modernas;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;55;53;298;96.36;15/11/2020
2019;Grado: Programa conjunto ADE/Derecho;Zaragoza;Facultad de Derecho;Facultad;Grado;80;80;379;100.00;15/11/2020
2019;Grado: Estudios en Arquitectura;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;70;70;314;100.00;15/11/2020
2019;Grado: Programa conjunto Física-Matemáticas (FisMat);Zaragoza;Facultad de Ciencias;Facultad;Grado;10;10;196;100.00;15/11/2020
