CURSO_ACADEMICO;TIPO_ESTUDIO;ESTUDIO;LOCALIDAD;CENTRO;ASIGNATURA;TIPO_ASIGNATURA;CLASE_ASIGNATURA;TASA_EXITO;TASA_RENDIMIENTO;TASA_EVALUACION;ALUMNOS_EVALUADOS;ALUMNOS_SUPERADOS;ALUMNOS_PRESENTADOS;MEDIA_CONVOCATORIAS_CONSUMIDAS;FECHA_ACTUALIZACION
2021;Grado;Grado: Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;Idioma moderno Portugués B1;Normal;Obligatoria;;;;0;0;0;1.00;16/04/2023
2021;Grado;Grado: Marketing e Investigación de Mercados;Zaragoza;Facultad de Economía y Empresa;Idioma moderno Portugués B1;Normal;Obligatoria;;;;0;0;0;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Dibujo I;Normal;Formación básica;97.96;96.00;98.00;50;48;49;1.02;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Color I;Normal;Formación básica;97.96;96.00;98.00;50;48;49;1.12;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Volumen I;Normal;Formación básica;100.00;96.08;96.08;51;49;49;1.10;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas pictóricas, materiales y procedimientos;Normal;Obligatoria;97.96;96.00;98.00;50;48;49;1.08;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas escultóricas, materiales y procedimientos;Normal;Obligatoria;100.00;100.00;100.00;50;50;50;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Sistemas de representación I;Normal;Formación básica;97.87;92.00;94.00;50;46;47;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Análisis de la imagen y de la forma;Normal;Formación básica;100.00;94.00;94.00;50;47;47;1.11;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Teoría e historia del arte;Normal;Formación básica;100.00;94.00;94.00;50;47;47;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Dibujo II;Normal;Obligatoria;100.00;97.87;97.87;47;46;46;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Color II;Normal;Obligatoria;97.83;95.74;97.87;47;45;46;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Volumen II;Normal;Obligatoria;95.65;91.67;95.83;48;44;46;1.02;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Sistemas de representación II;Normal;Obligatoria;97.83;93.75;95.83;48;45;46;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Imagen y lenguaje audiovisual;Normal;Formación básica;89.36;87.50;97.92;48;42;47;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Teoría e historia del arte del siglo XX;Normal;Formación básica;95.45;91.30;95.65;46;42;44;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Metodología de proyectos. Imagen;Normal;Obligatoria;100.00;100.00;100.00;29;29;29;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Metodología de proyectos. Espacio;Normal;Obligatoria;100.00;100.00;100.00;29;29;29;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte y pensamiento. Estética;Normal;Obligatoria;100.00;96.15;96.15;31;30;30;1.10;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Construcción del discurso artístico;Normal;Obligatoria;100.00;100.00;100.00;42;42;42;1.02;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Últimas tendencias artísticas;Normal;Obligatoria;100.00;100.00;100.00;41;41;41;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Trabajo fin de Grado;Trabajo fin de grado;Trabajo fin de Grado;100.00;76.60;76.60;47;36;36;1.00;16/04/2023
2021;Movilidad de entrada;Movilidad para 1º y 2º ciclo y grado;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Trabajo fin de Grado;Trabajo fin de grado;Optativa;100.00;100.00;100.00;1;1;1;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas de reproducción gráfica;Normal;Optativa;80.56;80.56;100.00;36;29;36;1.03;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Infografía;Normal;Optativa;100.00;100.00;100.00;18;18;18;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Introducción al diseño;Normal;Optativa;100.00;94.12;94.12;17;16;16;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Historia de las ideas estéticas;Normal;Optativa;100.00;50.00;50.00;2;1;1;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte y sociedad contemporánea;Normal;Optativa;100.00;100.00;100.00;3;3;3;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de dibujo;Normal;Optativa;100.00;100.00;100.00;24;24;24;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de pintura;Normal;Optativa;100.00;100.00;100.00;24;24;24;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de escultura;Normal;Optativa;100.00;85.71;85.71;14;13;13;1.00;16/04/2023
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de grabado I;Normal;Optativa;100.00;90.91;90.91;16;14;15;1.00;16/04/2023
