CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2020;Escuela Politécnica Superior;1-Ciencias Ambientales;Grado;208;41;54;48;0;0;0;44;5;6;10404.00;405.00;6.83;75.80;66.39;74.28;;;04/09/2022
2020;Facultad de Ciencias de la Salud;1-Enfermería;Grado;633;156;160;160;0;0;0;189;1;2;36530.00;2507.50;4.08;97.40;95.41;96.42;;;04/09/2022
2020;Escuela Universitaria de Enfermería San Jorge de Huesca;1-Enfermería;Grado;210;54;54;48;0;0;0;57;1;2;12416.00;559.00;4.00;97.23;94.30;97.81;;;04/09/2022
2020;Escuela Universitaria de Enfermería de Teruel;1-Enfermería;Grado;133;33;33;30;0;0;0;39;;1;7726.00;144.00;4.04;98.64;96.07;99.05;;;04/09/2022
2020;Facultad de Ciencias Sociales y Humanas de Teruel;1-Bellas Artes;Grado;178;49;55;39;0;0;0;12;8;4;9625.00;149.00;5.06;98.88;95.81;88.28;;;04/09/2022
2020;Facultad de Ciencias Sociales y Humanas de Teruel;1-Psicología;Grado;274;0;;79;0;0;0;16;4;22;16080.00;43.00;4.34;94.82;91.62;91.63;;;04/09/2022
2020;Facultad de Filosofía y Letras;1-Filosofía;Grado;227;60;60;31;0;0;0;15;9;5;12295.50;726.50;4.96;93.45;77.16;86.68;;;04/09/2022
2020;Facultad de Filosofía y Letras;1-Periodismo;Grado;248;59;60;54;0;0;0;33;33;18;13837.00;655.00;4.32;97.27;91.80;96.10;;;04/09/2022
2020;Facultad de Filosofía y Letras;1-Información y Documentación;Grado;53;11;36;16;0;0;0;8;8;1;2706.00;224.50;4.80;91.17;77.67;90.17;;;04/09/2022
2020;Centro Politécnico Superior;1-Arquitectura;Grado;;;;0;;;0;;;;;;;;;;;;04/09/2022
