CURSO_ACADEMICO;TIPO_ESTUDIO;ESTUDIO;LOCALIDAD;CENTRO;ASIGNATURA;TIPO_ASIGNATURA;CLASE_ASIGNATURA;TASA_EXITO;TASA_RENDIMIENTO;TASA_EVALUACION;ALUMNOS_EVALUADOS;ALUMNOS_SUPERADOS;ALUMNOS_PRESENTADOS;MEDIA_CONVOCATORIAS_CONSUMIDAS;FECHA_ACTUALIZACION
2019;Grado;Grado: Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;Idioma moderno Portugués B1;Normal;Obligatoria;;;;0;0;0;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Dibujo I;Normal;Formación básica;100.00;100.00;100.00;32;32;32;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Color I;Normal;Formación básica;100.00;100.00;100.00;31;31;31;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Volumen I;Normal;Formación básica;100.00;100.00;100.00;32;32;32;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas pictóricas, materiales y procedimientos;Normal;Obligatoria;100.00;100.00;100.00;31;31;31;1.06;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas escultóricas, materiales y procedimientos;Normal;Obligatoria;100.00;100.00;100.00;32;32;32;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Sistemas de representación I;Normal;Formación básica;100.00;100.00;100.00;32;32;32;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Análisis de la imagen y de la forma;Normal;Formación básica;96.67;93.55;96.77;31;29;30;1.03;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Teoría e historia del arte;Normal;Formación básica;100.00;100.00;100.00;32;32;32;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Dibujo II;Normal;Obligatoria;97.92;95.92;97.96;49;47;48;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Color II;Normal;Obligatoria;97.96;97.96;100.00;49;48;49;1.02;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Volumen II;Normal;Obligatoria;100.00;100.00;100.00;47;47;47;1.02;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Sistemas de representación II;Normal;Obligatoria;100.00;98.25;98.25;58;57;57;1.16;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Imagen y lenguaje audiovisual;Normal;Formación básica;100.00;97.87;97.87;47;46;46;1.02;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Teoría e historia del arte del siglo XX;Normal;Formación básica;100.00;100.00;100.00;46;46;46;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Metodología de proyectos. Imagen;Normal;Obligatoria;100.00;95.45;95.45;27;26;26;1.04;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Metodología de proyectos. Espacio;Normal;Obligatoria;100.00;95.83;95.83;29;28;28;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte y pensamiento. Estética;Normal;Obligatoria;100.00;100.00;100.00;29;29;29;1.28;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Construcción del discurso artístico;Normal;Obligatoria;97.37;84.09;86.36;46;38;40;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Últimas tendencias artísticas;Normal;Obligatoria;90.70;90.70;100.00;45;41;45;1.12;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Trabajo fin de Grado;Trabajo fin de grado;Trabajo fin de Grado;100.00;76.09;76.09;46;35;35;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas de reproducción gráfica;Normal;Optativa;100.00;100.00;100.00;24;24;24;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Infografía;Normal;Optativa;100.00;96.97;96.97;33;32;32;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Introducción al diseño;Normal;Optativa;100.00;95.45;95.45;22;21;21;1.10;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Historia de las ideas estéticas;Normal;Optativa;100.00;90.91;90.91;11;10;10;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte y sociedad contemporánea;Normal;Optativa;100.00;88.89;88.89;9;8;8;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de dibujo;Normal;Optativa;100.00;100.00;100.00;21;20;20;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de pintura;Normal;Optativa;95.00;95.00;100.00;21;20;21;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de escultura;Normal;Optativa;100.00;94.44;94.44;22;21;21;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de grabado I;Normal;Optativa;81.82;81.82;100.00;13;11;13;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de grabado II;Normal;Optativa;100.00;100.00;100.00;8;8;8;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de diseño gráfico I;Normal;Optativa;100.00;92.31;92.31;17;15;15;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de diseño gráfico II;Normal;Optativa;100.00;90.91;90.91;12;11;11;1.09;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de fotografía e imagen digital;Normal;Optativa;100.00;94.74;94.74;23;22;22;1.09;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de ilustración;Normal;Optativa;86.96;86.96;100.00;26;23;26;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Instalaciones;Normal;Optativa;100.00;96.00;96.00;27;26;26;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte, entorno y espacio público;Normal;Optativa;100.00;100.00;100.00;23;23;23;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte de acción;Normal;Optativa;100.00;100.00;100.00;17;17;17;1.06;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Tratamiento digital de la imagen;Normal;Optativa;100.00;100.00;100.00;33;33;33;1.15;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Animación en 2 y 3D;Normal;Optativa;100.00;75.00;75.00;14;11;11;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Diseño web;Normal;Optativa;100.00;87.50;87.50;8;7;7;1.29;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Recursos intermedia;Normal;Optativa;100.00;80.00;80.00;7;6;6;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de videoarte;Normal;Optativa;94.44;85.00;90.00;23;20;21;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Historia de la fotografía, cine y otros medios audiovisuales;Normal;Optativa;92.86;81.25;87.50;18;15;16;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Diseño y gestión del espacio expositivo;Normal;Optativa;100.00;94.44;94.44;18;17;17;1.06;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Prácticas externas;Prácticas externas;Optativa;100.00;94.44;94.44;18;17;17;1.00;12/09/2021
2019;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología del arte;Normal;Optativa;100.00;100.00;100.00;28;28;28;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Bases químicas del medio ambiente;Normal;Formación básica;67.44;60.42;89.58;48;29;43;1.88;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Biología;Normal;Formación básica;40.38;29.58;73.24;73;23;54;2.35;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Fundamentos de geología para el estudio del medio ambiente;Normal;Formación básica;88.89;84.21;94.74;38;32;36;1.19;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Fundamentos matemáticos para el estudio del medio ambiente;Normal;Formación básica;55.32;32.50;58.75;81;26;47;2.07;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Economía aplicada;Normal;Formación básica;100.00;100.00;100.00;31;31;31;1.25;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Administración y legislación ambiental;Normal;Formación básica;100.00;92.86;92.86;42;39;39;1.37;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Bases físicas del medio ambiente;Normal;Formación básica;73.91;51.52;69.70;67;34;46;1.57;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Edafología;Normal;Formación básica;86.96;78.43;90.20;51;40;46;1.88;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Estadística;Normal;Formación básica;95.83;92.00;96.00;25;23;24;1.13;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Bases de la ingeniería ambiental;Normal;Obligatoria;40.74;31.43;77.14;48;24;40;1.31;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Ecología I;Normal;Obligatoria;96.77;93.75;96.88;32;30;31;1.13;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Meteorología y climatología;Normal;Obligatoria;74.29;63.41;85.37;42;26;35;1.65;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Ecología II;Normal;Obligatoria;100.00;93.75;93.75;32;30;30;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Degradación y contaminación de suelos;Normal;Obligatoria;85.71;80.00;93.33;30;24;28;1.25;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Contaminación atmosférica;Normal;Obligatoria;88.89;74.42;83.72;43;32;36;1.53;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Riesgos naturales;Normal;Obligatoria;93.33;84.85;90.91;35;30;32;1.03;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Educación ambiental;Normal;Optativa;100.00;100.00;100.00;10;10;10;1.09;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Tecnologías limpias. Energías renovables;Normal;Obligatoria;74.36;63.04;84.78;57;38;48;1.84;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Actividad agrosilvopastoral y medio ambiente;Normal;Obligatoria;71.79;68.29;95.12;45;32;43;1.94;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Contaminación de aguas;Normal;Obligatoria;90.91;90.91;100.00;37;34;37;1.59;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Gestión y conservación de flora y fauna;Normal;Obligatoria;91.67;91.67;100.00;42;38;42;1.48;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Gestión, tratamiento y recuperación de residuos;Normal;Obligatoria;63.16;60.00;95.00;47;31;45;1.55;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Espacios naturales;Normal;Obligatoria;100.00;100.00;100.00;2;2;2;2.50;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Ordenación del territorio y urbanismo;Normal;Obligatoria;97.56;95.24;97.62;48;44;47;2.02;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Proyectos y sistemas de gestión ambiental;Normal;Obligatoria;100.00;100.00;100.00;5;5;5;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Evaluación de impacto ambiental;Normal;Obligatoria;95.24;95.24;100.00;30;29;30;1.28;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Auditorías ambientales;Normal;Obligatoria;100.00;100.00;100.00;6;6;6;1.17;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Trabajo fin de Grado;Trabajo fin de grado;Trabajo fin de Grado;100.00;58.33;58.33;36;21;21;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Prácticas externas;Prácticas externas;Prácticas externas;100.00;90.00;90.00;10;9;9;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Contaminación radiactiva, acústica y por vibraciones;Normal;Optativa;;;;3;2;2;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Tecnología analítica en la detección de contaminantes;Normal;Optativa;100.00;100.00;100.00;4;4;4;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Química ambiental;Normal;Optativa;100.00;100.00;100.00;2;2;2;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Biogeografía y geobotánica;Normal;Optativa;;;;1;0;0;;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Teledetección ambiental y SIG;Normal;Optativa;66.67;66.67;100.00;3;2;3;1.50;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Evaluación de suelos;Normal;Optativa;100.00;100.00;100.00;8;8;8;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Hidrogeología ambiental;Normal;Optativa;100.00;100.00;100.00;3;3;3;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Ecosistemas fluviales;Normal;Optativa;100.00;100.00;100.00;3;3;3;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Actividades clasificadas;Normal;Optativa;100.00;100.00;100.00;8;8;8;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Medio ambiente y sostenibilidad;Normal;Obligatoria;94.87;92.50;97.50;40;37;39;1.11;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Botánica;Normal;Formación básica;95.12;88.64;93.18;44;39;41;1.69;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Zoología;Normal;Formación básica;94.44;89.47;94.74;38;34;36;1.03;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Sociedad y territorio;Normal;Obligatoria;82.76;82.76;100.00;29;24;29;1.19;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Cartografía y sistemas de información geográfica;Normal;Obligatoria;90.91;55.56;61.11;36;20;22;1.09;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Análisis Químico en el medio ambiente;Normal;Obligatoria;65.91;64.44;97.78;47;30;45;2.10;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Toxicología y salud pública;Normal;Obligatoria;100.00;84.85;84.85;35;30;30;1.13;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Sistemas de gestión y Auditorías ambientales;Normal;Obligatoria;100.00;100.00;100.00;20;20;20;1.14;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Áreas Protegidas;Normal;Obligatoria;100.00;94.44;94.44;26;25;25;1.28;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Proyectos ambientales;Normal;Obligatoria;100.00;92.00;92.00;30;28;28;1.04;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Acreditación y normas de calidad en laboratorios ambientales;Normal;Optativa;;;;2;2;2;1.50;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Hidrología ambiental;Normal;Optativa;100.00;100.00;100.00;29;29;29;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Química sostenible y medioambiental;Normal;Optativa;100.00;100.00;100.00;5;5;5;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Prácticas externas;Prácticas externas;Optativa;100.00;92.86;92.86;14;13;13;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Teledetección ambiental;Normal;Optativa;100.00;100.00;100.00;5;5;5;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Restauración de ecosistemas;Normal;Optativa;100.00;100.00;100.00;14;14;14;1.07;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Biogeografía y geobotánica;Normal;Optativa;100.00;100.00;100.00;1;1;1;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Ecosistemas acuáticos;Normal;Optativa;100.00;90.00;90.00;10;9;9;1.00;12/09/2021
2019;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Inglés para las ciencias ambientales;Normal;Optativa;100.00;100.00;100.00;7;7;7;1.14;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Lengua española;Normal;Formación básica;100.00;95.00;95.00;60;57;57;1.03;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Documentación informativa;Normal;Obligatoria;100.00;96.43;96.43;56;54;54;1.00;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Sociología del mundo actual;Normal;Formación básica;96.30;91.23;94.74;57;52;54;1.04;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Derecho y deontología de la información (parte I): Derecho;Normal;Obligatoria;100.00;96.49;96.49;57;55;55;1.00;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Géneros y redacción periodística I;Normal;Obligatoria;100.00;98.28;98.28;58;57;57;1.00;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Historia del mundo actual;Normal;Formación básica;100.00;94.74;94.74;57;54;54;1.00;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Instituciones políticas y administrativas contemporáneas;Normal;Formación básica;100.00;96.67;96.67;60;58;58;1.05;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Relaciones internacionales;Normal;Formación básica;98.21;96.49;98.25;57;55;56;1.02;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Derecho y deontología de la información (Parte 2): Deontología;Normal;Obligatoria;100.00;96.61;96.61;59;57;57;1.00;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Géneros y redacción periodística II;Normal;Obligatoria;100.00;98.33;98.33;60;59;59;1.00;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Fundamentos de economía;Normal;Formación básica;79.66;68.12;85.51;69;47;59;1.64;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Estructura de la comunicación;Normal;Formación básica;98.11;94.55;96.36;55;52;53;1.09;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Géneros informativos en radio;Normal;Obligatoria;98.25;93.33;95.00;60;56;57;1.07;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Producción de informativos en radio;Normal;Obligatoria;96.43;93.10;96.55;58;54;56;1.00;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Bases culturales de la comunicación: Corrientes artísticas contemporáneas;Normal;Obligatoria;100.00;100.00;100.00;4;4;4;1.00;12/09/2021
2019;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Bases culturales de la comunicación: corrientes literarias contemporáneas;Normal;Obligatoria;100.00;75.00;75.00;4;3;3;1.00;12/09/2021
