CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2021;Escuela Politécnica Superior;1-Ciencias Ambientales;Grado;177;37;54;21;0;0;0;45;3;9;9156.00;243.50;5.90;80.04;67.14;78.19;;;16/04/2023
2021;Facultad de Ciencias de la Salud;1-Enfermería;Grado;637;176;176;148;0;0;0;228;11;13;37108.00;2687.50;4.02;96.14;93.42;97.32;;;16/04/2023
2021;Escuela Universitaria de Enfermería San Jorge de Huesca;1-Enfermería;Grado;214;59;59;52;0;0;0;58;3;7;12755.00;717.00;4.23;97.22;96.33;97.71;;;16/04/2023
2021;Escuela Universitaria de Enfermería de Teruel;1-Enfermería;Grado;138;36;36;31;0;0;0;32;;2;8074.00;663.00;4.00;97.61;96.22;99.91;;;16/04/2023
2021;Facultad de Ciencias Sociales y Humanas de Teruel;1-Bellas Artes;Grado;179;50;55;37;0;0;0;7;20;11;10223.00;27.50;4.11;97.88;94.52;98.22;;;16/04/2023
2021;Facultad de Ciencias Sociales y Humanas de Teruel;1-Psicología;Grado;189;0;;77;0;0;0;7;25;30;10764.00;37.00;4.38;96.23;92.85;94.26;;;16/04/2023
2021;Facultad de Filosofía y Letras;1-Filosofía;Grado;229;59;60;36;0;0;0;24;29;14;12107.00;495.00;5.03;91.05;76.78;86.76;;;16/04/2023
2021;Facultad de Filosofía y Letras;1-Periodismo;Grado;238;59;60;50;0;0;0;41;69;29;13476.00;848.00;4.30;97.06;93.44;97.43;;;16/04/2023
2021;Facultad de Filosofía y Letras;1-Información y Documentación;Grado;51;14;36;12;0;0;0;6;4;0;2496.00;403.00;5.75;87.27;67.55;89.08;;;16/04/2023
2021;Facultad de Ciencias de la Salud;1-Fisioterapia;Grado;232;60;60;50;0;0;0;41;7;6;13509.00;993.00;4.00;95.20;92.03;99.08;;;16/04/2023
2021;Facultad de Ciencias de la Salud;1-Terapia Ocupacional;Grado;296;80;80;67;0;0;0;8;2;5;17557.00;378.50;4.08;93.96;87.38;96.30;;;16/04/2023
2021;Facultad de Ciencias Sociales y del Trabajo;1-Trabajo Social;Grado;699;158;180;159;0;0;0;51;28;52;40561.00;991.00;4.42;90.88;82.88;92.64;;;16/04/2023
2021;Escuela de Ingeniería y Arquitectura;1-Ingeniero en Diseño Industrial y Desarrollo de Producto;Grado;359;75;75;68;0;0;0;109;35;29;20350.00;892.50;4.62;88.63;82.35;89.31;;;16/04/2023
2021;Facultad de Veterinaria;1-Ciencia y Tecnología de los Alimentos;Grado;254;58;60;54;0;0;0;52;10;11;14652.00;184.00;4.60;87.11;82.83;93.72;;;16/04/2023
2021;Facultad de Ciencias de la Salud y del Deporte;1-Ciencias de la Actividad Física y del Deporte;Grado;276;62;62;57;0;0;0;16;6;10;15063.00;294.50;4.30;92.45;87.71;94.88;;;16/04/2023
2021;Facultad de Ciencias;1-Geología;Grado;126;32;50;25;0;0;0;16;5;7;7162.50;512.50;4.83;77.62;64.37;88.37;;;16/04/2023
2021;Facultad de Ciencias;1-Óptica y Optometría;Grado;228;57;60;43;0;0;0;4;1;10;13436.00;27.00;4.34;86.13;76.88;90.85;;;16/04/2023
2021;Facultad de Educación;1-Magisterio en Educación Primaria;Grado;1062;238;240;225;13;0;5;57;22;54;58994.00;2195.00;4.34;94.69;89.95;94.22;;;16/04/2023
2021;Facultad de Ciencias Humanas y de la Educación;1-Magisterio en Educación Primaria;Grado;534;120;120;101;0;0;0;34;3;21;31515.50;894.00;4.44;90.37;83.88;93.20;;;16/04/2023
2021;Facultad de Ciencias Sociales y Humanas de Teruel;1-Magisterio en Educación Primaria;Grado;418;115;120;76;0;0;0;54;4;7;24652.00;1089.50;4.47;89.45;83.97;92.06;;;16/04/2023
2021;Facultad de Educación;1-Magisterio en Educación Infantil;Grado;479;120;120;87;0;0;0;31;17;23;27639.00;1730.00;4.24;93.30;89.36;95.96;;;16/04/2023
2021;Facultad de Ciencias Humanas y de la Educación;1-Magisterio en Educación Infantil;Grado;496;118;120;105;0;0;0;78;3;9;27313.00;3542.50;4.58;90.40;84.57;91.20;;;16/04/2023
2021;Facultad de Ciencias Sociales y Humanas de Teruel;1-Magisterio en Educación Infantil;Grado;381;114;120;74;0;0;0;100;6;12;22343.00;3516.00;4.33;90.86;86.93;94.27;;;16/04/2023
2021;Facultad de Medicina;1-Medicina;Grado;1239;185;180;196;0;0;0;480;89;88;73962.00;5996.50;5.99;96.75;93.59;96.55;;;16/04/2023
2021;Facultad de Ciencias de la Salud y del Deporte;1-Medicina;Grado;100;45;45;0;0;0;0;15;;0;5387.00;570.00;;97.12;94.54;;;;16/04/2023
2021;Facultad de Filosofía y Letras;1-Estudios Clásicos;Grado;79;20;30;8;0;0;0;13;27;0;4402.50;210.50;4.62;83.32;61.49;89.76;;;16/04/2023
2021;Facultad de Filosofía y Letras;1-Estudios Ingleses;Grado;391;98;100;46;0;0;0;16;107;49;21912.00;479.00;4.76;86.37;74.51;88.34;;;16/04/2023
2021;Facultad de Filosofía y Letras;1-Filología Hispánica;Grado;269;70;70;36;0;0;0;59;168;18;14983.50;769.50;4.48;83.41;70.69;91.95;;;16/04/2023
2021;Facultad de Filosofía y Letras;1-Historia;Grado;461;98;165;79;0;0;0;82;92;12;25127.50;324.00;4.80;88.79;74.78;91.85;;;16/04/2023
2021;Facultad de Filosofía y Letras;1-Historia del Arte;Grado;285;64;120;27;0;0;0;54;41;16;14983.00;547.50;5.11;81.45;64.09;92.48;;;16/04/2023
2021;Facultad de Ciencias;1-Física;Grado;345;85;85;63;0;0;0;87;3;20;19858.00;1395.00;4.73;87.67;79.25;86.97;;;16/04/2023
2021;Facultad de Ciencias;1-Biotecnología;Grado;276;66;66;64;0;0;0;63;13;31;15896.50;398.50;4.26;90.85;86.34;94.67;;;16/04/2023
2021;Facultad de Ciencias;1-Matemáticas;Grado;327;70;70;60;0;0;0;68;9;19;18641.00;937.50;4.89;86.88;78.51;86.18;;;16/04/2023
2021;Facultad de Ciencias;1-Química;Grado;603;135;150;83;0;0;0;84;14;24;33684.50;804.50;5.23;76.48;66.46;81.60;;;16/04/2023
2021;Facultad de Ciencias de la Salud y del Deporte;1-Nutrición Humana y Dietética;Grado;232;55;56;48;0;0;0;54;10;8;12839.00;341.00;4.67;94.72;89.25;93.73;;;16/04/2023
2021;Facultad de Ciencias de la Salud y del Deporte;1-Odontología;Grado;172;37;36;36;0;0;0;64;2;3;9792.00;859.00;5.07;95.49;92.93;96.03;;;16/04/2023
2021;Facultad de Veterinaria;1-Veterinaria;Grado;747;146;146;125;0;0;0;110;23;30;44944.50;1121.50;5.50;89.66;85.61;89.95;;;16/04/2023
2021;Facultad de Economía y Empresa;1-Administración y Dirección de Empresas;Grado;1619;392;400;291;8;0;3;389;213;131;92567.00;5602.50;5.32;75.26;63.70;88.14;;;16/04/2023
2021;Facultad de Empresa y Gestión Pública;1-Administración y Dirección de Empresas;Grado;176;51;65;21;4;0;1;38;23;11;9258.00;449.50;5.94;69.01;54.33;76.03;;;16/04/2023
2021;Facultad de Ciencias Sociales y Humanas de Teruel;1-Administración y Dirección de Empresas;Grado;134;30;45;18;0;0;0;32;10;5;6589.00;180.00;5.53;78.19;66.50;86.95;;;16/04/2023
2021;Facultad de Derecho;1-Derecho;Grado;1384;305;308;305;0;0;0;347;58;101;79778.00;2968.00;5.17;84.05;75.19;89.17;;;16/04/2023
2021;Facultad de Economía y Empresa;1-Economía;Grado;677;153;200;99;0;0;0;147;55;23;38127.00;1404.00;5.33;76.75;61.00;80.45;;;16/04/2023
2021;Facultad de Economía y Empresa;1-Finanzas y Contabilidad;Grado;460;120;150;71;0;0;0;114;10;6;24835.00;1683.50;5.12;73.24;56.34;84.07;;;16/04/2023
2021;Facultad de Filosofía y Letras;1-Geografía y Ordenación del Territorio;Grado;115;27;50;20;0;0;0;19;24;6;6149.00;163.00;5.10;90.67;81.81;90.44;;;16/04/2023
2021;Facultad de Empresa y Gestión Pública;1-Gestión y Administración Pública;Grado;93;35;45;11;3;0;1;37;2;3;4112.00;1632.00;4.50;87.35;65.91;94.13;;;16/04/2023
2021;Facultad de Economía y Empresa;1-Marketing e Investigación de Mercados;Grado;607;147;150;85;0;0;0;113;59;31;34928.00;2350.50;5.14;78.88;67.31;84.43;;;16/04/2023
2021;Facultad de Ciencias Sociales y del Trabajo;1-Relaciones Laborales y Recursos Humanos;Grado;723;163;180;104;6;0;3;161;28;44;38612.50;1815.00;5.57;77.37;68.22;83.72;;;16/04/2023
