CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2020;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Facultad;Grado;54;41;284;75.93;07/11/2021
2020;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;160;156;2949;97.50;07/11/2021
2020;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Centro adscrito;Grado;54;54;2333;100.00;07/11/2021
2020;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Centro adscrito;Grado;33;33;2015;100.00;07/11/2021
2020;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;55;49;218;89.09;07/11/2021
2020;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;60;60;418;100.00;07/11/2021
2020;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;60;59;653;98.33;07/11/2021
2020;Grado: Información y Documentación;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;36;11;127;30.56;07/11/2021
2020;Grado: Fisioterapia;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;60;56;1500;93.33;07/11/2021
2020;Grado: Terapia Ocupacional;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;80;78;700;97.50;07/11/2021
2020;Grado: Trabajo Social;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Grado;180;174;1897;96.67;07/11/2021
2020;Grado: Ingeniero en Diseño Industrial y Desarrollo de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;75;74;574;98.67;07/11/2021
2020;Grado: Ciencia y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;Facultad;Grado;60;60;596;100.00;07/11/2021
2020;Grado: Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;62;62;831;100.00;07/11/2021
2020;Grado: Geología;Zaragoza;Facultad de Ciencias;Facultad;Grado;50;38;154;76.00;07/11/2021
2020;Grado: Óptica y Optometría;Zaragoza;Facultad de Ciencias;Facultad;Grado;60;57;728;95.00;07/11/2021
2020;Grado: Magisterio en Educación Primaria;Zaragoza;Facultad de Educación;Facultad;Grado;240;239;1654;99.58;07/11/2021
2020;Grado: Magisterio en Educación Primaria;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Grado;120;120;849;100.00;07/11/2021
2020;Grado: Magisterio en Educación Primaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;120;112;681;93.33;07/11/2021
2020;Grado: Magisterio en Educación Infantil;Zaragoza;Facultad de Educación;Facultad;Grado;120;120;1246;100.00;07/11/2021
2020;Grado: Magisterio en Educación Infantil;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Grado;120;122;698;101.67;07/11/2021
2020;Grado: Magisterio en Educación Infantil;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;120;114;621;95.00;07/11/2021
2020;Grado: Medicina;Zaragoza;Facultad de Medicina;Facultad;Grado;180;178;4719;98.89;07/11/2021
2020;Grado: Medicina;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;45;45;4180;100.00;07/11/2021
2020;Grado: Estudios Clásicos;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;30;19;160;63.33;07/11/2021
2020;Grado: Estudios Ingleses;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;100;99;507;99.00;07/11/2021
2020;Grado: Filología Hispánica;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;70;61;326;87.14;07/11/2021
2020;Grado: Historia;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;165;128;579;77.58;07/11/2021
2020;Grado: Historia del Arte;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;120;71;362;59.17;07/11/2021
2020;Grado: Física;Zaragoza;Facultad de Ciencias;Facultad;Grado;85;83;690;97.65;07/11/2021
2020;Grado: Biotecnología;Zaragoza;Facultad de Ciencias;Facultad;Grado;66;66;1112;100.00;07/11/2021
2020;Grado: Matemáticas;Zaragoza;Facultad de Ciencias;Facultad;Grado;67;69;835;102.99;07/11/2021
2020;Grado: Química;Zaragoza;Facultad de Ciencias;Facultad;Grado;150;139;878;92.67;07/11/2021
2020;Grado: Nutrición Humana y Dietética;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;56;56;904;100.00;07/11/2021
2020;Grado: Odontología;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;36;35;1221;97.22;07/11/2021
2020;Grado: Veterinaria;Zaragoza;Facultad de Veterinaria;Facultad;Grado;146;146;1613;100.00;07/11/2021
2020;Grado: Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;400;385;1556;96.25;07/11/2021
2020;Grado: Administración y Dirección de Empresas;Huesca;Facultad de Empresa y Gestión Pública;Facultad;Grado;65;51;456;78.46;07/11/2021
2020;Grado: Administración y Dirección de Empresas;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;45;32;324;71.11;07/11/2021
2020;Grado: Derecho;Zaragoza;Facultad de Derecho;Facultad;Grado;308;306;1251;99.35;07/11/2021
2020;Grado: Economía;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;200;178;2410;89.00;07/11/2021
2020;Grado: Finanzas y Contabilidad;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;150;132;849;88.00;07/11/2021
2020;Grado: Geografía y Ordenación del Territorio;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;50;30;181;60.00;07/11/2021
2020;Grado: Gestión y Administración Pública;Huesca;Facultad de Empresa y Gestión Pública;Facultad;Grado;40;38;197;95.00;07/11/2021
2020;Grado: Marketing e Investigación de Mercados;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;150;148;1368;98.67;07/11/2021
2020;Grado: Relaciones Laborales y Recursos Humanos;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Grado;180;174;970;96.67;07/11/2021
2020;Grado: Turismo;Zaragoza;Escuela Universitaria de Turismo de Zaragoza;Centro adscrito;Grado;80;39;591;48.75;07/11/2021
2020;Grado: Ingeniería Agroalimentaria y del Medio Rural;Huesca;Escuela Politécnica Superior;Facultad;Grado;45;45;203;100.00;07/11/2021
2020;Grado: Ingeniería Civil;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;54;16;141;29.63;07/11/2021
2020;Grado: Arquitectura Técnica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;54;15;156;27.78;07/11/2021
2020;Grado: Ingeniería de Organización Industrial;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;56;42;169;75.00;07/11/2021
2020;Grado: Ingeniería de Organización Industrial;Zaragoza;Centro Universitario de la Defensa de Zaragoza;Centro adscrito;Grado;303;300;0;99.01;07/11/2021
2020;Grado: Ingeniería de Tecnologías Industriales;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;180;169;723;93.89;07/11/2021
2020;Grado: Ingeniería de Tecnologías y Servicios de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;86;531;95.56;07/11/2021
2020;Grado: Ingeniería Electrica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;60;403;66.67;07/11/2021
2020;Grado: Ingeniería Electrónica y Automática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;120;94;575;78.33;07/11/2021
2020;Grado: Ingeniería Electrónica y Automática;Teruel;Escuela Universitaria Politécnica de Teruel;Escuela Universitaria;Grado;29;24;152;82.76;07/11/2021
2020;Grado: Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;102;110;827;107.84;07/11/2021
2020;Grado: Ingeniería Informática;Teruel;Escuela Universitaria Politécnica de Teruel;Escuela Universitaria;Grado;33;32;343;96.97;07/11/2021
2020;Grado: Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;225;178;751;79.11;07/11/2021
2020;Grado: Ingeniería Mecatrónica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;56;47;227;83.93;07/11/2021
2020;Grado: Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;68;543;75.56;07/11/2021
2020;Grado: Lenguas Modernas;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;55;55;388;100.00;07/11/2021
2020;Grado: Programa conjunto en Derecho-Administración y Dirección de Empresas;Zaragoza;Facultad de Derecho;Facultad;Grado;80;80;492;100.00;07/11/2021
2020;Grado: Estudios en Arquitectura;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;70;69;444;98.57;07/11/2021
2020;Grado: Programa conjunto Física-Matemáticas (FisMat);Zaragoza;Facultad de Ciencias;Facultad;Grado;10;10;264;100.00;07/11/2021
2020;Grado: Programa conjunto en Nutrición Humana y Dietética-Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;10;10;408;100.00;07/11/2021
2020;Grado: Programa conjunto en Matemáticas-Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;10;10;231;100.00;07/11/2021
2020;Grado: Programa conjunto en Ingeniería Mecatrónica-Ingeniería de Organización  Industrial;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;10;10;69;100.00;07/11/2021
2020;Grado: Psicología;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;85;82;1020;96.47;07/11/2021
