CURSO_ACADEMICO;TIPO_ESTUDIO;ESTUDIO;LOCALIDAD;CENTRO;ASIGNATURA;TIPO_ASIGNATURA;CLASE_ASIGNATURA;TASA_EXITO;TASA_RENDIMIENTO;TASA_EVALUACION;ALUMNOS_EVALUADOS;ALUMNOS_SUPERADOS;ALUMNOS_PRESENTADOS;MEDIA_CONVOCATORIAS_CONSUMIDAS;FECHA_ACTUALIZACION
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Dibujo I;Normal;Formación básica;100.00;100.00;100.00;47;47;47;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Color I;Normal;Formación básica;100.00;97.92;97.92;48;47;47;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Volumen I;Normal;Formación básica;97.87;97.87;100.00;47;46;47;1.10;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas pictóricas, materiales y procedimientos;Normal;Obligatoria;100.00;100.00;100.00;49;49;49;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas escultóricas, materiales y procedimientos;Normal;Obligatoria;100.00;100.00;100.00;48;48;48;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Sistemas de representación I;Normal;Formación básica;100.00;100.00;100.00;48;48;48;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Análisis de la imagen y de la forma;Normal;Formación básica;100.00;100.00;100.00;48;48;48;1.02;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Teoría e historia del arte;Normal;Formación básica;100.00;100.00;100.00;48;48;48;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Dibujo II;Normal;Obligatoria;100.00;100.00;100.00;31;31;31;1.16;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Color II;Normal;Obligatoria;96.67;96.67;100.00;30;29;30;1.03;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Volumen II;Normal;Obligatoria;100.00;100.00;100.00;30;30;30;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Sistemas de representación II;Normal;Obligatoria;100.00;90.63;90.63;32;29;29;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Imagen y lenguaje audiovisual;Normal;Formación básica;100.00;90.00;90.00;30;27;27;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Teoría e historia del arte del siglo XX;Normal;Formación básica;100.00;100.00;100.00;30;30;30;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Metodología de proyectos. Imagen;Normal;Obligatoria;100.00;97.62;97.62;46;45;45;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Metodología de proyectos. Espacio;Normal;Obligatoria;100.00;97.67;97.67;47;46;46;1.02;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte y pensamiento. Estética;Normal;Obligatoria;95.12;95.12;100.00;45;43;45;1.16;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Construcción del discurso artístico;Normal;Obligatoria;96.67;90.63;93.75;32;29;30;1.07;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Últimas tendencias artísticas;Normal;Obligatoria;100.00;100.00;100.00;28;28;28;1.18;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Trabajo fin de Grado;Trabajo fin de grado;Trabajo fin de Grado;100.00;77.08;77.08;48;37;37;1.00;04/09/2022
2020;Movilidad de entrada;Movilidad para 1º y 2º ciclo y grado;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Trabajo fin de Grado;Trabajo fin de grado;Optativa;;;;1;1;1;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas de reproducción gráfica;Normal;Optativa;92.59;92.59;100.00;27;25;27;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Infografía;Normal;Optativa;100.00;100.00;100.00;22;22;22;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Introducción al diseño;Normal;Optativa;100.00;100.00;100.00;7;7;7;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Historia de las ideas estéticas;Normal;Optativa;100.00;100.00;100.00;3;3;3;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte y sociedad contemporánea;Normal;Optativa;100.00;100.00;100.00;2;2;2;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de dibujo;Normal;Optativa;100.00;93.10;93.10;31;29;29;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de pintura;Normal;Optativa;94.29;94.29;100.00;37;35;37;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de escultura;Normal;Optativa;100.00;88.89;88.89;10;9;9;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de grabado I;Normal;Optativa;100.00;96.00;96.00;26;25;25;1.24;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de grabado II;Normal;Optativa;100.00;80.00;80.00;5;4;4;1.25;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de diseño gráfico I;Normal;Optativa;100.00;100.00;100.00;31;31;31;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de diseño gráfico II;Normal;Optativa;100.00;100.00;100.00;11;11;11;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de fotografía e imagen digital;Normal;Optativa;100.00;96.55;96.55;31;30;30;1.00;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de ilustración;Normal;Optativa;100.00;97.14;97.14;35;34;34;1.15;04/09/2022
2020;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Instalaciones;Normal;Optativa;100.00;100.00;100.00;15;15;15;1.00;04/09/2022
